CHR	POS	END	MEDIAN
chr1	11233387	11233497	1.14511
chr1	11234132	11234275	1.0398
chr1	11237832	11238058	1.25009
chr1	11238391	11238627	1.03248
chr1	11240292	11240557	0.62491
chr1	11241542	11241691	0.99912
chr1	11243103	11243310	1.1548
chr1	11247614	11247743	1.26074
chr1	11247808	11248104	0.98057
chr1	11253828	11253983	1.13181
chr1	11255981	11256202	1.13311
chr1	11256922	11257175	1.02535
chr1	11258474	11258603	0.98086
chr1	11259237	11259419	1.267
chr1	11664034	11664036	1.0863
chr1	12157082	12157084	0.75938
chr1	12554817	12554819	1.38989
chr1	13489304	13489306	1.34252
chr1	13861394	13861396	0.64908
chr1	14537936	14537938	1.26628
chr1	14938907	14938909	0.91602
chr1	15527154	15527156	0.51442
chr1	16171552	16171554	0.6381
chr1	16986847	16986849	0.98671
chr1	17018870	17018968	1.12613
chr1	17022597	17022740	0.99796
chr1	17023962	17024084	0.99013
chr1	17027738	17027875	1.04877
chr1	17028589	17028746	1.2114
chr1	17033049	17033155	1.11008
chr1	17044750	17044898	1.0185
chr1	17053937	17054029	0.54272
chr1	17239035	17239037	1.17952
chr1	17942192	17942194	1.05396
chr1	18213278	18213280	1.28604
chr1	18306862	18306864	1.32624
chr1	18331066	18331068	0.73839
chr1	18352871	18352873	1.35399
chr1	18426664	18426666	0.50858
chr1	18504625	18504627	1.22361
chr1	18515794	18515796	0.46714
chr1	18631593	18631698	1.22839
chr1	18634292	18634548	1.34874
chr1	18635100	18635250	0.99378
chr1	18636226	18636381	1.45094
chr1	18651987	18651989	1.13674
chr1	18691743	18691963	1.05739
chr1	18700642	18700828	1.20408
chr1	18703083	18703582	1.21372
chr1	18703583	18704082	1.49843
chr1	18704083	18704280	1.31051
chr1	18704640	18705139	1.1379
chr1	18705140	18705639	1.20888
chr1	18705640	18706139	1.18506
chr1	18706140	18706440	0.96465
chr1	18706799	18707399	1.18884
chr1	18707759	18708238	1.02817
chr1	18708358	18708857	0.97819
chr1	18708858	18709357	1.32366
chr1	18709358	18709857	1.38977
chr1	18709858	18710357	1.2647
chr1	18710358	18710857	1.16149
chr1	18710858	18711357	1.30934
chr1	18711358	18711857	1.02479
chr1	18711858	18712357	0.99091
chr1	18712358	18712794	1.08533
chr1	18713033	18713532	1.25465
chr1	18713533	18713872	1.34172
chr1	18714232	18714731	1.29765
chr1	18714732	18715231	1.33673
chr1	18715232	18715731	1.15024
chr1	18715732	18716231	1.10601
chr1	18716232	18716731	0.80403
chr1	18716732	18717231	0.46763
chr1	18717232	18717731	1.13735
chr1	18717732	18718231	1.3728
chr1	18718232	18718669	1.28442
chr1	18718908	18719407	1.40017
chr1	18719408	18719907	1.31244
chr1	18719908	18720407	1.14913
chr1	18720408	18720907	1.26953
chr1	18720908	18721407	1.43304
chr1	18721408	18721907	1.5757
chr1	18721908	18722407	1.3532
chr1	18722408	18722907	1.56852
chr1	18722908	18723407	1.57356
chr1	18723408	18723907	1.26737
chr1	18723908	18724407	1.17397
chr1	18724408	18724907	0.92529
chr1	18724908	18725407	0.79275
chr1	18725408	18725907	0.8423
chr1	18725908	18726407	0.89827
chr1	18726408	18726907	1.18865
chr1	18726908	18727407	1.04888
chr1	18727408	18727907	1.06195
chr1	18727908	18728407	1.20335
chr1	18728408	18728616	1.25247
chr1	18728855	18729354	1.26611
chr1	18729355	18729854	1.37764
chr1	18729855	18730354	1.16278
chr1	18730355	18730854	0.66936
chr1	18730855	18731354	1.0019
chr1	18731355	18731854	1.35136
chr1	18731855	18732354	1.33331
chr1	18732355	18732854	1.37075
chr1	18732855	18733354	1.10694
chr1	18733355	18733854	1.30159
chr1	18733855	18734354	1.30925
chr1	18734355	18734854	1.78407
chr1	18734855	18735354	1.30137
chr1	18735355	18735854	1.28622
chr1	18735855	18736049	1.15224
chr1	18740873	18740875	1.20178
chr1	18753560	18753562	1.39911
chr1	18804506	18804508	1.63859
chr1	18853329	18853331	1.1124
chr1	18876431	18876433	1.148
chr1	18934913	18934915	1.26122
chr1	18978090	18978092	1.25348
chr1	19024128	19024130	0.9913
chr1	19039203	19039205	0.6974
chr1	19072456	19072458	1.75851
chr1	19135651	19135653	0.56175
chr1	19162780	19162782	0.98866
chr1	19469356	19469358	0.54795
chr1	19839477	19839479	1.19468
chr1	20393945	20393947	0.74326
chr1	21147986	21147988	0.5779
chr1	21400193	21400195	0.17755
chr1	21921004	21921006	1.05228
chr1	22239473	22239475	1.28089
chr1	22957931	22957933	0.38761
chr1	23558949	23559029	0.77979
chr1	23559116	23559436	1.11539
chr1	23691813	23691839	0.3815
chr1	23692598	23692769	0.77793
chr1	23693796	23693923	0.93548
chr1	23694649	23694801	1.09617
chr1	23695787	23695918	1.15418
chr1	23696333	23696383	1.14016
chr1	24079048	24079050	0.77999
chr1	24363589	24363591	1.31277
chr1	24976003	24976005	1.12908
chr1	25478959	25478961	0.91963
chr1	25825589	25825591	0.56303
chr1	26336870	26336872	1.02967
chr1	26354203	26354205	1.84373
chr1	26384307	26384309	1.03813
chr1	26421716	26421718	0.96424
chr1	26565517	26565519	1.10764
chr1	26696393	26696892	0.19136
chr1	26696893	26697392	0.40541
chr1	26697393	26697550	0.45973
chr1	26703059	26703061	1.2151
chr1	26725588	26725590	0.83631
chr1	26729640	26729873	1.11836
chr1	26731141	26731614	1.08363
chr1	26732665	26732802	1.33885
chr1	26760845	26761106	1.2122
chr1	26761373	26761483	0.87584
chr1	26762141	26762329	1.11799
chr1	26762962	26763295	1.06072
chr1	26766210	26766376	1.3398
chr1	26766446	26766576	1.25209
chr1	26767779	26768009	1.13824
chr1	26771108	26771336	1.07885
chr1	26772489	26772642	1.31624
chr1	26772801	26772997	1.19485
chr1	26773335	26773506	1.37871
chr1	26773569	26773727	1.29855
chr1	26773791	26773908	1.18599
chr1	26774318	26774817	0.89094
chr1	26774818	26775230	0.72682
chr1	26775566	26775717	1.11287
chr1	26779012	26779511	1.04217
chr1	26779512	26780011	1.08239
chr1	26780012	26780511	1.05592
chr1	26780512	26780766	0.96341
chr1	27077359	27077361	0.95979
chr1	27101829	27101831	0.84871
chr1	27177091	27177093	1.11417
chr1	27182750	27182752	0.89555
chr1	27353305	27353307	1.51165
chr1	27882854	27882856	1.21478
chr1	28333184	28333186	1.0856
chr1	28825331	28825333	1.2857
chr1	29390418	29390420	1.46085
chr1	29901306	29901308	0.62825
chr1	30053961	30053963	1.11444
chr1	30689582	30689584	1.34348
chr1	31669161	31669163	1.28131
chr1	32603152	32603154	0.76039
chr1	33409528	33409530	0.95553
chr1	33808614	33808616	1.03631
chr1	34186113	34186115	1.24699
chr1	34891076	34891078	0.78676
chr1	35269036	35269095	0.32949
chr1	35325349	35325415	1.06931
chr1	35358914	35359456	1.13144
chr1	35361183	35361265	0.99342
chr1	35361608	35361799	1.21679
chr1	35370018	35370123	0.94098
chr1	35370361	35370637	0.71165
chr1	35381248	35381443	0.74524
chr1	35381535	35381768	1.30583
chr1	35385431	35385602	1.03202
chr1	35386063	35386199	1.01116
chr1	35386992	35387288	0.93234
chr1	35387443	35387614	0.97277
chr1	35388899	35389092	0.96169
chr1	35389937	35390108	1.17282
chr1	35392201	35392362	1.27041
chr1	35392636	35392694	0.93901
chr1	35393584	35393749	1.21151
chr1	35396541	35396680	1.21256
chr1	35397366	35397555	1.31451
chr1	35398402	35398476	0.85768
chr1	35398853	35399053	0.95481
chr1	35399471	35399586	1.28657
chr1	35405012	35405204	1.09926
chr1	35405362	35405478	1.02799
chr1	35407997	35408169	1.04448
chr1	35413961	35414093	0.70452
chr1	35415455	35415724	1.11331
chr1	35418432	35418582	1.20779
chr1	35419459	35419687	1.17507
chr1	36466346	36466837	1.42755
chr1	36467219	36467321	1.30225
chr1	36467547	36467661	1.25063
chr1	36467811	36467972	1.16824
chr1	36468064	36468231	1.42345
chr1	36469145	36469267	1.35286
chr1	36469641	36469850	0.97741
chr1	36471422	36471656	1.13754
chr1	36472055	36472149	1.14301
chr1	36472227	36472401	1.30338
chr1	36472506	36472696	1.09678
chr1	36473424	36473632	1.3192
chr1	36473753	36473897	1.51033
chr1	36475366	36475683	1.21509
chr1	36479422	36479506	1.13107
chr1	36520916	36520918	1.60836
chr1	36656433	36656435	1.47603
chr1	37442138	37442140	1.04775
chr1	37596104	37596106	0.71146
chr1	38251829	38251831	1.00552
chr1	38749363	38749365	0.66751
chr1	39239785	39239787	1.03543
chr1	39962655	39962657	1.17563
chr1	40363170	40363172	0.76954
chr1	40604079	40604081	0.77063
chr1	41172597	41172599	1.03089
chr1	41908672	41908674	1.15181
chr1	42263203	42263205	0.71368
chr1	42970232	42970234	1.24124
chr1	43110531	43110533	1.17901
chr1	43337838	43337937	1.54059
chr1	43338088	43338241	1.2
chr1	43338531	43338730	1.23689
chr1	43339260	43339579	1.05539
chr1	43339953	43340136	1.48071
chr1	43340376	43340523	1.24839
chr1	43346434	43346639	1.31897
chr1	43346781	43346944	1.30605
chr1	43348832	43349012	0.82783
chr1	43349252	43349369	0.75788
chr1	43352205	43352313	1.37665
chr1	43352507	43352782	1.07767
chr1	43787343	43787345	0.97665
chr1	44100996	44100998	0.60914
chr1	44605543	44605545	1.18166
chr1	45329295	45329447	1.21676
chr1	45330505	45330567	1.16105
chr1	45331171	45331344	1.28006
chr1	45331409	45331566	1.04718
chr1	45331650	45331859	1.4593
chr1	45332012	45332096	1.21528
chr1	45332155	45332320	1.26231
chr1	45332380	45332498	1.11726
chr1	45332563	45332697	1.49183
chr1	45332752	45332844	1.13924
chr1	45332907	45332969	0.81428
chr1	45333086	45333180	1.06433
chr1	45333274	45333334	0.71495
chr1	45333402	45333613	0.88077
chr1	45334380	45334521	1.06246
chr1	45340208	45340264	0.74868
chr1	45406989	45406991	0.95436
chr1	45650619	45650621	0.77199
chr1	46115771	46115773	0.97918
chr1	46750687	46750689	1.51272
chr1	46810097	46810099	1.65431
chr1	46997978	46997980	1.37923
chr1	47041168	47041170	1.07535
chr1	47049923	47049925	0.97196
chr1	47104930	47104932	0.7506
chr1	47125116	47125118	0.82683
chr1	47190902	47190904	1.29317
chr1	47219709	47220184	0.94687
chr1	47223918	47224417	1.14236
chr1	47224418	47224917	1.07246
chr1	47224918	47225417	1.07037
chr1	47225418	47225917	0.60756
chr1	47225918	47226417	0.86305
chr1	47226418	47226917	1.07988
chr1	47226918	47227417	1.16757
chr1	47227418	47227917	1.17944
chr1	47227918	47228417	1.23613
chr1	47228418	47228917	1.20286
chr1	47228918	47229417	0.82442
chr1	47229418	47229917	0.59984
chr1	47229918	47230417	0.95093
chr1	47230418	47230917	0.94272
chr1	47230918	47231417	0.65683
chr1	47231418	47231917	0.86668
chr1	47231918	47232417	0.18908
chr1	47232418	47232917	0.79706
chr1	47232918	47233417	0.78691
chr1	47233418	47233917	1.46643
chr1	47233918	47234417	0.89426
chr1	47234418	47234666	1.1125
chr1	47234904	47235403	1.24953
chr1	47235404	47235903	0.79488
chr1	47235904	47236338	1.05392
chr1	47236695	47236697	1.03114
chr1	47238318	47238557	0.66063
chr1	47238794	47239293	1.16638
chr1	47239294	47239793	1.37392
chr1	47239794	47239981	1.15048
chr1	47278540	47278542	0.46864
chr1	47304768	47304770	1.09758
chr1	47309435	47309934	1.22859
chr1	47309935	47310434	0.99698
chr1	47310435	47310853	0.9541
chr1	47311087	47311326	0.45939
chr1	47311560	47311799	0.78203
chr1	47312031	47312151	0.84169
chr1	47312386	47312885	0.75453
chr1	47312886	47313095	0.70523
chr1	47313330	47313829	0.90262
chr1	47313830	47314329	0.65572
chr1	47314330	47314865	0.31139
chr1	47360308	47360310	1.03881
chr1	47378791	47378793	0.89779
chr1	47435627	47435629	0.62765
chr1	47466877	47466879	0.5492
chr1	47508708	47508710	1.37247
chr1	47592006	47592008	1.67707
chr1	47630774	47630776	1.20486
chr1	47695952	47695954	0.99816
chr1	47901474	47901476	1.293
chr1	48097015	48097017	1.16431
chr1	49031622	49031624	1.3332
chr1	49201222	49201224	1.43619
chr1	49642801	49642803	0.91343
chr1	50034512	50034514	0.94306
chr1	50597458	50597460	0.83413
chr1	50970358	50970507	0.81444
chr1	50973882	50974280	1.22726
chr1	51173455	51173457	0.83853
chr1	51839991	51839993	0.67847
chr1	52531567	52531569	0.8988
chr1	52733220	52733222	0.55122
chr1	53231466	53231468	0.59186
chr1	53563968	53563970	1.34371
chr1	54087533	54087535	0.98576
chr1	54801171	54801173	1.2572
chr1	55474695	55474697	1.21256
chr1	55754254	55754256	0.72072
chr1	56187938	56187940	0.90527
chr1	56674991	56674993	0.70866
chr1	57449201	57449203	1.03834
chr1	57631481	57631483	0.6761
chr1	58241163	58241165	0.5864
chr1	58799866	58799868	1.04403
chr1	59491623	59491625	0.71613
chr1	59617391	59617393	0.58551
chr1	60114226	60114228	1.00512
chr1	60629885	60629887	0.97262
chr1	61415839	61415841	0.96153
chr1	61651133	61651135	0.3619
chr1	62426153	62426155	0.66806
chr1	62944947	62944949	1.26958
chr1	63117000	63117002	0.97645
chr1	63663086	63663088	1.55736
chr1	64827765	64827767	1.17864
chr1	64834551	64834667	1.0036
chr1	64835385	64835516	1.02734
chr1	64836087	64836225	1.31113
chr1	64837921	64838114	1.206
chr1	64838454	64838599	1.28263
chr1	64839592	64839805	1.20835
chr1	64841234	64841349	1.09363
chr1	64841440	64841611	1.47636
chr1	64844053	64844225	1.32886
chr1	64844743	64844899	1.17913
chr1	64845502	64845650	1.31825
chr1	64846638	64846746	1.25979
chr1	64847521	64847685	1.32216
chr1	64850793	64850920	1.16054
chr1	64855498	64855708	1.13541
chr1	64857645	64857789	1.20946
chr1	64860094	64860272	1.2969
chr1	64864776	64864982	0.95948
chr1	64866855	64867218	1.19106
chr1	64869300	64869484	1.30125
chr1	64873359	64873533	1.13946
chr1	64879014	64879158	1.06104
chr1	64883266	64883485	1.19563
chr1	64886248	64886274	1.02904
chr1	65120851	65120853	1.3364
chr1	65774213	65774215	0.77186
chr1	66471304	66471306	1.22804
chr1	66566414	66566416	1.00828
chr1	67389468	67389470	0.71832
chr1	67723482	67723484	1.01285
chr1	68477752	68477754	0.88226
chr1	68621871	68621873	0.18768
chr1	69079530	69079532	0.84996
chr1	69852564	69852566	0.97297
chr1	70500646	70500648	0.88382
chr1	70657149	70657151	0.62275
chr1	71063717	71063719	0.58677
chr1	71724267	71724269	0.79198
chr1	72252059	72252061	0.69996
chr1	72848863	72848865	0.73146
chr1	73156753	73156755	0.85053
chr1	73762486	73762488	0.52897
chr1	74066368	74066370	0.62902
chr1	74694558	74694560	0.80758
chr1	75309541	75309543	0.72833
chr1	75917611	75917613	0.54081
chr1	76289178	76289180	1.06764
chr1	76759289	76759291	1.06182
chr1	77235242	77235244	0.69386
chr1	77948755	77948784	1.00982
chr1	77949144	77949310	1.204
chr1	77955244	77955339	0.75302
chr1	77956561	77956710	1.09198
chr1	77960173	77960273	1.17379
chr1	77960333	77960505	1.0124
chr1	77962759	77962940	1.12607
chr1	77963563	77963725	1.20279
chr1	77964051	77964172	1.20599
chr1	77964243	77964366	1.13045
chr1	77964635	77964757	1.08344
chr1	77964859	77964978	1.23839
chr1	77965058	77965241	1.16585
chr1	77966683	77966761	0.88466
chr1	77966873	77966965	0.63305
chr1	77967038	77967111	0.80715
chr1	77967616	77967676	0.83032
chr1	77968154	77968213	0.86438
chr1	77969914	77970025	0.69121
chr1	77978874	77979014	0.43851
chr1	78273134	78273136	1.07274
chr1	78800317	78800319	0.58474
chr1	79145744	79145746	0.60714
chr1	79603608	79603610	0.93271
chr1	80178351	80178353	0.93032
chr1	80902562	80902564	0.83575
chr1	81416694	81416696	0.82611
chr1	81652658	81652660	0.6796
chr1	82097605	82097607	0.67871
chr1	83014746	83014748	0.57587
chr1	83114798	83114800	0.78877
chr1	83970128	83970130	0.82983
chr1	84135364	84135366	1.08483
chr1	84976101	84976103	0.96429
chr1	85108337	85108339	0.57918
chr1	85993536	85993538	0.84392
chr1	86086980	86086982	0.99881
chr1	86668909	86668911	0.80507
chr1	87239457	87239459	1.68861
chr1	87636332	87636334	0.92813
chr1	88191004	88191006	0.89817
chr1	88886127	88886129	0.73738
chr1	89266275	89266277	0.85878
chr1	89813282	89813284	0.79189
chr1	90064860	90064862	0.82941
chr1	90826281	90826283	0.0912
chr1	91169378	91169380	0.0
chr1	92018257	92018259	0.65484
chr1	92044584	92044586	1.02485
chr1	92376710	92376712	1.07421
chr1	92458499	92458501	0.8318
chr1	92566495	92566497	1.01646
chr1	92597053	92597055	1.14129
chr1	92637643	92637645	0.60487
chr1	92664710	92664712	0.90385
chr1	92726576	92726578	0.86164
chr1	92750038	92750040	1.08153
chr1	92832104	92832127	0.83384
chr1	92833378	92833468	0.81909
chr1	92833534	92833670	0.89144
chr1	92834768	92834923	0.88285
chr1	92836179	92836402	0.95018
chr1	92837445	92837643	1.01258
chr1	92840540	92840649	1.00922
chr1	92841755	92841875	0.91717
chr1	92891265	92891267	0.64995
chr1	92934136	92934138	1.10622
chr1	92988756	92988758	0.46422
chr1	93055818	93055820	1.05436
chr1	93062211	93062213	1.06178
chr1	93115434	93115436	0.29599
chr1	93155925	93155927	0.62938
chr1	93187227	93187229	0.73544
chr1	93249661	93249663	0.7196
chr1	93270997	93270999	0.96738
chr1	93306443	93306445	0.74355
chr1	93355126	93355128	0.84341
chr1	93627258	93627260	1.15181
chr1	94225683	94225685	0.50828
chr1	94698741	94698743	1.29798
chr1	95523678	95523680	1.04188
chr1	95551022	95551024	1.05409
chr1	96177524	96177526	0.76096
chr1	96820790	96820792	1.02349
chr1	97102926	97102928	0.84734
chr1	97537711	97537713	0.73463
chr1	98355253	98355255	0.76415
chr1	98573742	98573744	0.86726
chr1	99117673	99117675	0.58783
chr1	99879852	99879854	1.13779
chr1	100474220	100474222	0.92915
chr1	100641424	100641426	1.10317
chr1	101285190	101285192	0.80676
chr1	101857260	101857262	0.84954
chr1	102051668	102051670	0.71669
chr1	102569286	102569288	0.47149
chr1	103291150	103291152	0.86838
chr1	103886857	103886859	1.00386
chr1	103976172	103976174	0.60715
chr1	104628864	104628866	0.49386
chr1	105209700	105209702	0.57648
chr1	105458983	105458985	0.9497
chr1	106351384	106351386	0.77419
chr1	106946500	106946502	1.11442
chr1	107383427	107383429	0.55626
chr1	107714908	107714910	0.67939
chr1	108182935	108182937	0.75384
chr1	108723019	108723021	1.08548
chr1	109223172	109223174	1.23753
chr1	109806034	109806036	1.21873
chr1	109948589	109948591	1.1327
chr1	110074056	110074058	1.28453
chr1	110097250	110097252	1.01912
chr1	110138919	110138921	0.95254
chr1	110198065	110198067	1.15321
chr1	110211185	110211187	0.96037
chr1	110248354	110248356	0.76492
chr1	110338322	110338324	0.67871
chr1	110339395	110339894	0.52445
chr1	110339895	110340394	0.623
chr1	110340395	110340894	0.72757
chr1	110340895	110341394	0.65092
chr1	110341395	110341894	1.10164
chr1	110341895	110342394	1.03928
chr1	110342395	110342894	0.85131
chr1	110342895	110343394	0.92175
chr1	110343395	110343894	0.86313
chr1	110343895	110344394	1.07408
chr1	110344395	110344894	0.89658
chr1	110344895	110345394	0.9833
chr1	110345395	110345688	1.04204
chr1	110426647	110426649	0.92548
chr1	110446365	110446367	0.87094
chr1	110579465	110579467	1.40152
chr1	110664262	110664264	1.16523
chr1	110685033	110685035	0.91485
chr1	110773071	110773073	0.793
chr1	110828086	110828088	0.77046
chr1	110879122	110879124	0.88331
chr1	111344689	111344691	0.84233
chr1	111872344	111872346	1.10014
chr1	112123007	112123009	0.86124
chr1	112549904	112549906	1.1949
chr1	113369385	113369387	0.64393
chr1	113859281	113859283	0.84679
chr1	114322720	114322722	1.09429
chr1	114697194	114697196	1.09744
chr1	114708524	114708664	1.08901
chr1	114709558	114709738	1.15896
chr1	114713789	114713988	0.79192
chr1	114716039	114716170	0.98761
chr1	115291226	115291228	0.57638
chr1	115820992	115820994	0.49598
chr1	115983050	115983052	1.0299
chr1	116664442	116664444	1.12308
chr1	117329918	117329920	1.14208
chr1	117935963	117935965	0.77994
chr1	118219110	118219112	0.90621
chr1	118608326	118608328	0.81515
chr1	119327748	119327750	1.12423
chr1	119756398	119756400	0.94319
chr1	119915295	119915794	1.30265
chr1	119915795	119916294	1.11962
chr1	119916295	119916704	1.02081
chr1	119917654	119917772	1.24048
chr1	119918395	119918563	1.17793
chr1	119919301	119919623	1.41607
chr1	119920218	119920407	1.24578
chr1	119921702	119921819	1.28211
chr1	119922225	119922456	1.24833
chr1	119922625	119922788	1.3953
chr1	119923626	119923994	1.24038
chr1	119925294	119925820	1.35621
chr1	119926488	119926621	1.2198
chr1	119928965	119929222	1.21117
chr1	119935461	119935614	1.23301
chr1	119937271	119937476	1.11497
chr1	119937846	119938020	1.31464
chr1	119940544	119940766	1.2268
chr1	119941515	119941764	1.17266
chr1	119948403	119948576	1.20953
chr1	119948996	119949136	0.99884
chr1	119950713	119950847	1.23178
chr1	119953532	119953698	1.26919
chr1	119955029	119955242	1.34537
chr1	119959381	119959512	1.27688
chr1	119963563	119963817	1.13345
chr1	119965442	119965576	1.23891
chr1	119966365	119966499	1.22181
chr1	119967422	119967631	1.26151
chr1	119968066	119968242	0.52628
chr1	119969500	119969754	1.08483
chr1	119986949	119987092	1.16131
chr1	119996986	119997342	0.86561
chr1	120005318	120005598	0.73602
chr1	120029895	120029997	0.00467
chr1	120069323	120069416	0.36416
chr1	121434955	121434957	1.23158
chr1	143734395	143734396	0.97905
chr1	145804276	145804278	0.93984
chr1	146040038	146040040	1.34
chr1	147160140	147160142	1.33787
chr1	147611826	147611899	1.09915
chr1	147612872	147613209	1.70991
chr1	147614416	147614626	1.10169
chr1	147615792	147615912	1.27244
chr1	147618185	147618635	1.03907
chr1	147618635	147619134	1.04342
chr1	147619135	147619634	1.19388
chr1	147619635	147620134	1.0096
chr1	147620135	147620634	1.17747
chr1	147620635	147621134	1.24161
chr1	147621135	147621273	1.19805
chr1	147621278	147621777	1.32105
chr1	147621778	147622277	1.20734
chr1	147622278	147622777	1.27884
chr1	147622778	147622968	0.96108
chr1	147622968	147623262	0.7794
chr1	147623263	147623762	1.22579
chr1	147623763	147624262	1.34464
chr1	147624263	147624762	1.11955
chr1	147624763	147624992	1.48388
chr1	147624993	147625026	1.32235
chr1	147625027	147625209	1.1594
chr1	147779786	147779788	0.44289
chr1	148354146	148354148	1.46671
chr1	150701207	150701209	0.87542
chr1	151056452	151056454	0.97535
chr1	151751763	151751765	1.0615
chr1	152211672	152211674	0.85372
chr1	153014394	153014396	0.94128
chr1	153035015	153035017	1.3842
chr1	153904498	153904500	1.0901
chr1	154103889	154103891	0.86564
chr1	154167926	154167950	1.14543
chr1	154169214	154169713	1.15566
chr1	154169714	154170213	0.92144
chr1	154170214	154170713	1.05449
chr1	154170714	154171213	1.10097
chr1	154171214	154171713	1.04983
chr1	154171714	154172213	1.15784
chr1	154172214	154172713	1.01614
chr1	154172714	154173034	1.00831
chr1	154173073	154173211	1.01722
chr1	154176104	154176258	0.86805
chr1	154191175	154191321	1.15948
chr1	154191891	154192028	1.16026
chr1	154778339	154778341	1.10669
chr1	155071335	155071337	0.9574
chr1	155900377	155900628	1.13898
chr1	155904300	155904512	1.15707
chr1	155904720	155904814	1.11477
chr1	155910439	155910516	0.80221
chr1	155910645	155910771	0.74868
chr1	156013506	156013508	1.1649
chr1	156334990	156334992	1.10669
chr1	156436588	156436590	1.10464
chr1	156467634	156467666	0.80971
chr1	156467982	156468309	1.12278
chr1	156468769	156469249	1.25688
chr1	156469489	156469609	0.07107
chr1	156469850	156470209	0.94478
chr1	156470449	156471049	1.06158
chr1	156471410	156471909	1.07454
chr1	156471910	156472409	1.10609
chr1	156472410	156472610	0.94574
chr1	156473331	156473830	1.28686
chr1	156473831	156474171	1.13951
